version,1
codebook_name,mixed_125MHD4_263MHD2
bit_names,RS0109_cy5,RS0175_cy5,RS0237_cy5,RS0307_cy5,RS0332_cy5,RS0384_atto565,RS0406_atto565,RS0451_atto565,RS0468_atto565,RS0548_atto565,RS64.0_atto565,RS156.0_alexa488,RS278.0_alexa488,RS313.0_alexa488,RS643.0_alexa488,RS740.0_alexa488,RS810.0_alexa488,RSN9927.0_cy5,RSN2336.0_cy5,RSN1807.0_cy5,RSN4287.0_atto565,RSN1252.0_atto565,RSN9535.0_atto565
name, id, barcode
CAMK4,ENST00000282356,000000000000000001001101
BEST1,ENST00000449131,000000000000000100100110
CABIN1,ENST00000398319,000000000000000111001000
CALM1,ENST00000356978,000000000000001000001011
CALM2,ENST00000272298,000000000000001001000110
CALM3,ENST00000291295,000000000000001010011000
CALML3,ENST00000315238,000000000000001100010001
CALML4,ENST00000540479,000000000000010000001110
CAMK1,ENST00000256460,000000000000010000011001
CAMK1D,ENST00000619168,000000000000010011010000
CAMK2B,ENST00000395749,000000000000010100000101
CAMK2D,ENST00000394524,000000000000010110100000
CAMK2G,ENST00000351293,000000000000011010000010
CAMK2N1,ENST00000375078,000000000000100000011010
CAMK2N2,ENST00000296238,000000000000100000100101
CAMKK1,ENST00000348335,000000000000100010010001
CAMKK2,ENST00000538733,000000000000100011100000
CAPN1,ENST00000279247,000000000000100100010100
CAPN2,ENST00000295006,000000000000100101000001
CAPNS1,ENST00000587718,000000000000100110000010
CASK,ENST00000421587,000000000000110001000010
CBY1,ENST00000216029,000000000000110100001000
CERK,ENST00000216264,000000000000111000010000
DUOX1,ENST00000561166,000000000001000100110000
MCTP2,ENST00000357742,000000000001001000001100
NCS1,ENST00000372398,000000000001001000100001
PICK1,ENST00000404072,000000000001001100000010
PKN1,ENST00000242783,000000000001010000010100
PKN2,ENST00000370521,000000000001010000100010
PKN3,ENST00000291906,000000000001010010000001
PPM1A,ENST00000325658,000000000001100001010000
PPM1B,ENST00000378551,000000000001100010001000
PPM1D,ENST00000305921,000000000010000000011100
PPM1F,ENST00000263212,000000000010000000110001
PPM1J,ENST00000464951,000000000010000001100100
PPM1K,ENST00000608933,000000000010000010010010
PPP1CA,ENST00000376745,000000000010000011000001
PPP1CB,ENST00000358506,000000000010010000101000
PPP1CC,ENST00000335007,000000000010011000000100
PPP2CA,ENST00000481195,000000000010100000000011
PPP2CB,ENST00000221138,000000000010101000001000
PPP3CA,ENST00000394853,000000000011000001001000
PPP3CB,ENST00000394829,000000000011000010000100
PPP3CC,ENST00000240139,000000000011000100000001
PPP3R1,ENST00000234310,000000000100000001101000
PPP4C,ENST00000279387,000000000100000101000010
PPP5C,ENST00000012443,000000000100001001010000
PPP6C,ENST00000373547,000000000100001010000001
PRKCA,ENST00000413366,000000000100010000000011
PRKCD,ENST00000394729,000000000100010001000100
PRKCE,ENST00000306156,000000000100010010001000
PRKCH,ENST00000332981,000000000100101100000000
PRKCI,ENST00000295797,000000000101000000010001
PRKCQ,ENST00000263125,000000000101000010000010
PRKCZ,ENST00000378567,000000000101000100001000
PRKD2,ENST00000595515,000000000101100000000100
PRKD3,ENST00000379066,000000000110000000000110
RCAN1,ENST00000487990,000000000110000010100000
RCAN3,ENST00000374395,000000000110000100010000
TECPR1,ENST00000447648,000000000110110000000000
TECPR2,ENST00000359520,000000001000000001000011
ATP2B1,ENST00000428670,000000001000000001110000
ATP2B4,ENST00000341360,000000001000000100001100
ATP2C1,ENST00000359644,000000001000001101000000
NUCB1,ENST00000405315,000000001000010010000100
PKD1,ENST00000262304,000000001000011000100000
PKD2,ENST00000237596,000000001000100000100010
TRPC1,ENST00000273482,000000001000110000000001
TRPC4AP,ENST00000451813,000000001001000000101000
ATP2A1,ENST00000395503,000000001001000010010000
ATP2A2,ENST00000539276,000000001001010001000000
CCDC47,ENST00000225726,000000001010001000000001
HOMER1,ENST00000334082,000000001010100001000000
HOMER2,ENST00000558090,000000001011000000000010
HOMER3,ENST00000542541,000000001100000000010100
ORAI1,ENST00000617316,000000001100000011000000
ORAI2,ENST00000611770,000000001100100000001000
ORAI3,ENST00000318663,000000010000000001010100
RCN1,ENST00000054950,000000010000000010100010
RCN2,ENST00000394885,000000010000000100000011
RYR1,ENST00000355481,000000010000000101100000
RYR3,ENST00000634891,000000010000001000110000
STIM1,ENST00000616714,000000010000001010000100
STIM2,ENST00000639195,000000010000010000010010
MCU,ENST00000536019,000000010000010001001000
MICU1,ENST00000398761,000000010000100000000110
MICU2,ENST00000382374,000000010000100000101000
SLC24A1,ENST00000261892,000000010000101001000000
SLC25A13,ENST00000265631,000000010001000000001001
SLC25A25,ENST00000373068,000000010001000011000000
SLC8B1,ENST00000552014,000000010010000001000010
VDAC1,ENST00000265333,000000010010001100000000
VDAC2,ENST00000332211,000000010010010000000001
BIRC5,ENST00000301633,000000010011000000100000
BRCA1,ENST00000352993,000000010100000000011000
BRCA2,ENST00000380152,000000010100000000100100
BUB1,ENST00000535254,000000010100010100000000
BUB1B,ENST00000287598,000000010100100000000001
CCNA2,ENST00000274026,000000010101001000000000
CCNB1,ENST00000256442,000000011000000000000101
CCNB2,ENST00000621385,000000011000000000001010
CCNE1,ENST00000262643,000000011000100010000000
CCNE2,ENST00000520509,000000011001000100000000
CCNF,ENST00000397066,000000011010000000010000
CDK1,ENST00000448257,000000100000000000110010
CDC20,ENST00000372462,000000100000000001001010
CDC25A,ENST00000351231,000000100000000010000011
CDC25B,ENST00000245960,000000100000000010101000
CDC25C,ENST00000323760,000000100000000100011000
CDC45,ENST00000437685,000000100000001110000000
CDC6,ENST00000209728,000000100000010000100100
CDKN1A,ENST00000405375,000000100000101000100000
CDKN2C,ENST00000262662,000000100001000000000101
CDKN2D,ENST00000393599,000000100001000001100000
CDKN3,ENST00000556102,000000100001001000010000
CENPA,ENST00000335756,000000100010001001000000
CENPF,ENST00000366955,000000100010010000010000
CKS2,ENST00000314355,000000100010100000000100
DHFR,ENST00000439211,000000100100000001000001
E2F1,ENST00000343380,000000100100000010000100
E2F5,ENST00000418930,000000100100000100100000
MCM2,ENST00000265056,000000100100100000010000
MCM6,ENST00000264156,000000100101010000000000
MSH2,ENST00000543555,000000100110000000001000
NASP,ENST00000350030,000000101000001000000100
PCNA,ENST00000379160,000000101000010100000000
PLK1,ENST00000300093,000000101001100000000000
RRM1,ENST00000300738,000000101010000010000000
RRM2,ENST00000360566,000000101100000000000010
SLBP,ENST00000489418,000000110000000000001100
AURKA,ENST00000347343,000000110000000000100001
TOP2A,ENST00000423485,000000110000000010010000
TYMS,ENST00000323274,000000110000001000000010
DGKA,ENST00000331886,000000110000110000000000
DGKD,ENST00000409813,000000111000000001000000
DGKE,ENST00000284061,000001000000000000101001
DGKH,ENST00000261491,000001000000000001100010
DGKQ,ENST00000509465,000001000000000010000110
DGKZ,ENST00000454345,000001000000000100010010
INPP1,ENST00000392329,000001000000001000010100
INPP4A,ENST00000074304,000001000000001010100000
INPP4B,ENST00000513000,000001000000011001000000
INPP5A,ENST00000368594,000001000000100000001100
INPP5B,ENST00000373027,000001000000110000100000
INPP5D,ENST00000415617,000001000001000001000001
INPP5E,ENST00000371712,000001000001000110000000
INPP5F,ENST00000361976,000001000001100000000010
INPP5J,ENST00000412277,000001000010000101000000
INPP5K,ENST00000406424,000001000010100000010000
INPPL1,ENST00000298229,000001000011001000000000
ITPK1,ENST00000555495,000001000100000000110000
ITPKA,ENST00000260386,000001000100001000000010
ITPKB,ENST00000272117,000001000100100010000000
ITPKC,ENST00000263370,000001000110000000000001
ITPR1,ENST00000354582,000001001000000001000100
ITPR2,ENST00000381340,000001001000000010000001
ITPR3,ENST00000605930,000001001000010000000010
ITPRIP,ENST00000337478,000001001010000000100000
ITPRIPL2,ENST00000381440,000001001101000000000000
OCRL,ENST00000357121,000001010000010010000000
PI4K2A,ENST00000370631,000001010001000000000100
PI4K2B,ENST00000264864,000001010010000000001000
PI4KA,ENST00000255882,000001010100000001000000
PI4KB,ENST00000368875,000001011000001000000000
PIKFYVE,ENST00000264380,000001100000000001010000
PIP4K2A,ENST00000376573,000001100000100000000001
PIP4K2B,ENST00000619039,000001100001000000001000
PIP4K2C,ENST00000354947,000001100010000000000010
PIP5K1A,ENST00000409426,000001110000000100000000
PIP5K1C,ENST00000335312,000010000000000000100011
PLCB2,ENST00000260402,000010000000000010001100
PLCB3,ENST00000540288,000010000000000010110000
PLCD3,ENST00000619929,000010000000000101010000
PLCE1,ENST00000371380,000010000000000110000001
PLCG1,ENST00000373271,000010000000001000010010
PLCG2,ENST00000564138,000010000000001011000000
PLCH1,ENST00000460012,000010000000010001000001
PLCH2,ENST00000378486,000010000000011100000000
PLCXD1,ENST00000399012,000010000000100000001001
PLPP1,ENST00000307259,000010000000101000000100
PLPP2,ENST00000434325,000010000001000001000100
PLPP5,ENST00000531823,000010000001100000100000
PLPP6,ENST00000381883,000010000010000000001010
SYNJ1,ENST00000630077,000010000010000100000100
SYNJ2,ENST00000355585,000010000010001000100000
SYNJ2BP,ENST00000256366,000010000010100010000000
