version,1
codebook_name,mixed_125MHD4_263MHD2
bit_names,RS0095,RS0109,RS0175,RS0237,RS0307,RS0332,RS0384,RS0406,RS0451,RS0468,RS0548,RS64.0,RS156.0,RS278.0,RS313.0,RS643.0,RS740.0,RS810.0
name, id, barcode
CALM3,ENST00000291295.13,111100000000000000
CALM1,ENST00000356978.8,110011000000000000
ATP2B1,ENST00000428670.7,110000110000000000
ATP2B4,ENST00000341360.6,110000001100000000
ATP2B4,ENST00000367218.7,110000001100000000
ATP2B4,ENST00000357681.9,110000001100000000
ATP2A2,ENST00000539276.6,110000000011000000
STIM1,ENST00000300737.8,110000000000110000
STIM1,ENST00000616714.4,110000000000110000
STIM2,ENST00000465503.5,110000000000001100
STIM2,ENST00000467087.5,110000000000001100
STIM2,ENST00000467011.5,110000000000001100
ITPR3,ENST00000605930.2,110000000000000011
PLCB3,ENST00000540288.5,101010100000000000
PLCB3,ENST00000325234.5,101010100000000000
PLCB3,ENST00000279230.10,101010100000000000
ITPRIP,ENST00000337478.2,101001010000000000
ITPRIP,ENST00000278071.6,101001010000000000
PLCD3,ENST00000619929.4,101000001010000000
ITPRIPL2,ENST00000381440.4,101000000101000000
PLCG1,ENST00000373271.5,101000000000101000
PLCG1,ENST00000244007.7,101000000000101000
PLCH2,ENST00000378486.7,101000000000010100
ITPR2,ENST00000381340.7,100110010000000000
PLCB2,ENST00000260402.7,100101100000000000
PLCB2,ENST00000557821.5,100101100000000000
PLCB2,ENST00000456256.6,100101100000000000
PLCG2,ENST00000564138.5,100100001001000000
PLCE1,ENST00000371380.7,100100000110000000
GNA11,ENST00000078429.8,100100000000100100
GNAQ,ENST00000286548.8,100100000000011000
ATP2A1,ENST00000395503.8,100010001000100000
CD24,ENST00000606017.1,100010000100010000
CD24,ENST00000619133.4,100010000100010000
EpCAM,ENST00000263735.8,100010000010001000
ITPKA,ENST00000260386.6,100010000001000100
CALM2,ENST00000272298.11,100001001000010000
PPP2CA,ENST00000481195.5,100001000100100000
PPP5C,ENST00000012443.8,100001000010000100
PPP5C,ENST00000391919.1,100001000010000100
PPP1CB,ENST00000358506.6,100001000001001000
PPP1CB,ENST00000395366.2,100001000001001000
PPP1CB,ENST00000296122.10,100001000001001000
BEST1,ENST00000378043.8,100000101000001000
BEST1,ENST00000449131.6,100000101000001000
